Designator,Mid X,Mid Y,Layer,Rotation
C2,-381.9396,-92.38,bottom,-90
C11,-408.2796,-88.5698,bottom,90
C16,-264.05,-102,bottom,-90
C17,-282.067,-100.9142,bottom,0
C19,-166.96,-47.31,bottom,0
C20,-162.1,-46.25,bottom,180
C21,-162.09,-44.19,bottom,180
C22,-162.1,-42.08,bottom,180
C23,-165.18,-57.98,bottom,0
C24,-165.18,-55.9,bottom,0
C25,-165.16,-53.83,bottom,0
C26,-165.16,-51.77,bottom,0
C27,-165.15,-49.69,bottom,0
C28,-174.7,-55.1,bottom,180
C29,-170.46,-35.34,bottom,180
C30,-371.5766,-97.1042,bottom,-90
C31,-371.6011,-104.0892,bottom,-90
C32,-170.46,-37.4,bottom,180
C33,-231.15,-101.7,bottom,-90
C34,-247.4,-101.7,bottom,-90
C35,-201,-47.45,bottom,0
C36,-196,-46.05,bottom,180
C37,-196,-43.95,bottom,180
C38,-196,-41.95,bottom,180
C39,-358.947601,-97.2667,bottom,-90
C40,-358.942401,-104.472699,bottom,-90
C41,-199.26,-58.26,bottom,0
C42,-199.27,-56.18,bottom,0
C43,-199.27,-54.12,bottom,0
C44,-199.28,-52.05,bottom,0
C45,-199.27,-49.98,bottom,0
C46,-208.1,-55.45,bottom,180
C47,-204.53,-35.52,bottom,180
C48,-204.52,-37.57,bottom,180
C49,-344.769801,-97.240999,bottom,-90
C50,-344.769801,-104.454599,bottom,-90
C51,-319.9,-78.3246,bottom,180
C52,-331.7494,-97.0026,bottom,-90
C53,-331.763,-104.284799,bottom,-90
C54,-199.25,-101.95,bottom,-90
C55,-215.2,-102.25,bottom,-90
C56,-319.444,-97.030799,bottom,-90
C57,-319.444,-104.530799,bottom,-90
C58,-306.0066,-97.056199,bottom,-90
C59,-305.9566,-104.556199,bottom,-90
C60,-293.6748,-103.7082,bottom,-90
C61,-293.663,-96.580801,bottom,-90
C62,-386.08,-99.47,bottom,-90
C63,-397.3312,-99.4978,bottom,-90
C64,-394.35,-99.45,bottom,-90
C65,-383.11,-99.47,bottom,-90
C66,-391.34,-99.44,bottom,-90
C67,-380.72,-99.48,bottom,-90
C68,-389.04,-99.47,bottom,-90
C69,-378.29,-99.51,bottom,-90
D21,-174.95,-63.9,bottom,180
D22,-166.64,-34.83,bottom,90
D34,-201,-34.95,bottom,90
D46,-323.5416,-78.3246,bottom,180
L1,-160.15,-35.15,bottom,0
L2,-194.5,-35.95,bottom,0
R3,-378.3,-106.5,bottom,-90
R4,-389.0508,-106.4849,bottom,-90
R5,-378.2746,-102.9967,bottom,-90
R6,-389.0508,-102.9816,bottom,-90
R17,-380.72,-106.47,bottom,90
R18,-391.34,-106.47,bottom,-90
R19,-380.72,-103.02,bottom,90
R20,-391.3378,-102.9716,bottom,-90
R27,-383.12,-106.45,bottom,-90
R28,-394.39,-106.46,bottom,-90
R29,-383.13,-102.97,bottom,90
R30,-394.39,-103.01,bottom,90
R37,-386.07,-106.44,bottom,-90
R38,-397.33,-106.49,bottom,-90
R43,-386.05,-102.96,bottom,-90
R44,-397.3312,-102.9878,bottom,-90
R58,-250.0988,-93.5634,bottom,-90
R60,-266.9176,-92.8768,bottom,-90
R62,-260.1572,-92.014,bottom,0
R64,-276.8236,-91.5814,bottom,0
R65,-252.8928,-92.8268,bottom,180
R68,-269.7116,-92.1656,bottom,180
R69,-407.5684,-101.092,bottom,180
R70,-260.8176,-94.808,bottom,-90
R73,-277.5348,-94.3754,bottom,-90
R76,-282.0416,-98.8568,bottom,180
R77,-282.0162,-96.8502,bottom,180
R78,-257.1092,-102.9868,bottom,90
R79,-273.801,-102.478,bottom,90
R80,-250.0988,-99.0752,bottom,-90
R81,-266.9176,-98.6426,bottom,-90
R83,-261.5815,-105.7808,bottom,180
R84,-277.5094,-105.399,bottom,180
R85,-252.8928,-98.3894,bottom,180
R87,-269.7116,-97.8298,bottom,180
R91,-170.51,-47.29,bottom,0
R92,-170.46,-31.29,bottom,0
R93,-162.6175,-94.6725,bottom,0
R94,-174.81,-47.3,bottom,180
R95,-174.87,-45.23,bottom,0
R96,-170.46,-33.31,bottom,0
R100,-173.29,-36.08,bottom,-90
R101,-217.2716,-93.7984,bottom,-90
R102,-233.4008,-93.7514,bottom,-90
R103,-227.1268,-92.122,bottom,0
R104,-243.256,-92.0242,bottom,0
R105,-220.091,-92.9094,bottom,180
R106,-236.1948,-92.964,bottom,180
R107,-227.8888,-94.916,bottom,-90
R108,-243.9926,-94.7928,bottom,-90
R114,-204.5,-47.45,bottom,0
R115,-204.52,-31.45,bottom,0
R116,-178.4875,-94.7025,bottom,0
R122,-208.9125,-47.45,bottom,180
R123,-209,-44.95,bottom,0
R124,-224.2566,-103.0713,bottom,90
R125,-240.3096,-102.9462,bottom,90
R126,-217.2462,-99.361,bottom,-90
R127,-204.52,-33.48,bottom,0
R128,-233.2738,-99.4664,bottom,-90
R129,-227.9396,-105.8634,bottom,180
R130,-244.8054,-105.7656,bottom,180
R131,-220.0148,-98.5228,bottom,180
R132,-236.1694,-98.5774,bottom,180
R133,-207.5,-36.45,bottom,-90
R139,-327.2,-78.3246,bottom,0
R145,-317.15,-79.1,bottom,-90
R146,-185.3857,-94.107,bottom,-90
R147,-201.3458,-93.8784,bottom,-90
R148,-195.1228,-92.2274,bottom,0
R149,-211.2772,-92.0496,bottom,0
R150,-188.1797,-93.0402,bottom,180
R151,-204.1144,-92.8878,bottom,180
R152,-196.0118,-95.0214,bottom,-90
R153,-329.5416,-82.3246,bottom,180
R154,-371.602,-100.584,bottom,-90
R155,-211.9884,-94.8182,bottom,-90
R156,-329.5416,-80.3246,bottom,180
R157,-367.157,-95.1992,bottom,180
R162,-358.947601,-100.9497,bottom,-90
R164,-354.248601,-95.1585,bottom,180
R165,-344.758501,-100.929199,bottom,-90
R166,-340.375601,-94.954999,bottom,180
R170,-331.763,-100.6856,bottom,-90
R173,-327.533,-94.869,bottom,180
R174,-319.444,-101.030799,bottom,-90
R175,-192.4812,-103.0732,bottom,90
R176,-315.1632,-95.2246,bottom,180
R177,-208.5086,-102.87,bottom,90
R178,-185.42,-99.441,bottom,-90
R179,-201.3458,-99.2378,bottom,-90
R180,-305.9684,-100.9142,bottom,-90
R181,-196.0626,-105.8164,bottom,180
R182,-212.09,-105.664,bottom,180
R183,-188.3175,-98.6536,bottom,180
R184,-301.625,-95.1992,bottom,180
R185,-204.089,-98.4758,bottom,180
R186,-293.6748,-100.076,bottom,-90
R187,-288.8996,-94.8436,bottom,180
U2,-384.3846,-86.006,bottom,-90
U5,-387.7391,-85.9654,bottom,90
U6,-388.235,-92.925,bottom,90
U7,-390.9915,-85.9654,bottom,-90
U10,-394.3714,-85.9806,bottom,-90
U13,-404.3934,-88.646,bottom,-90
U14,-253.2992,-95.5954,bottom,0
U15,-270.1434,-95.0358,bottom,0
U16,-257.8966,-95.2398,bottom,90
U17,-274.6392,-94.7818,bottom,90
U19,-259.3192,-99.3038,bottom,0
U20,-276.087,-98.8712,bottom,0
U21,-260.3096,-103.0122,bottom,0
U22,-277.1195,-102.5034,bottom,0
U23,-253.2738,-101.1834,bottom,0
U24,-270.118,-100.6238,bottom,0
U25,-170.11,-42.24,bottom,90
U26,-367.162199,-98.6282,bottom,-90
U27,-367.1815,-103.6066,bottom,90
U28,-220.4631,-95.7034,bottom,0
U29,-236.6116,-95.758,bottom,0
U30,-225.0694,-95.3478,bottom,90
U31,-241.1224,-95.2157,bottom,90
U32,-204.2,-42.6,bottom,90
U33,-354.203,-98.8161,bottom,-90
U34,-354.248601,-103.9977,bottom,90
U35,-226.4664,-99.361,bottom,0
U36,-242.5194,-99.2124,bottom,0
U37,-227.4989,-103.044,bottom,0
U38,-243.5608,-102.9208,bottom,0
U39,-220.4466,-101.3676,bottom,0
U40,-236.525,-101.4984,bottom,0
U41,-340.364801,-98.4542,bottom,-90
U42,-340.477201,-103.4542,bottom,90
U43,-327.5692,-98.3098,bottom,-90
U44,-327.4568,-103.8098,bottom,90
U45,-188.6369,-95.8596,bottom,0
U46,-204.5208,-95.6818,bottom,0
U47,-193.2432,-95.4024,bottom,90
U48,-209.169,-95.2246,bottom,90
U49,-323.6716,-83.7996,bottom,180
U50,-194.6402,-99.441,bottom,0
U51,-210.6676,-99.3,bottom,0
U52,-315.2502,-98.5558,bottom,-90
U53,-315.1378,-103.5558,bottom,90
U54,-195.6562,-103.0732,bottom,0
U55,-211.6836,-102.87,bottom,0
U56,-188.6966,-101.4476,bottom,0
U57,-204.5462,-101.2952,bottom,0
U58,-301.6504,-98.5812,bottom,-90
U59,-301.6504,-103.5812,bottom,90
U60,-288.879399,-98.4758,bottom,-90
U61,-288.934799,-103.5304,bottom,90
